Dalvik/1.6.0 (Linux; U; Android 4.1.4; siwer A9 Build/IMM76D)
Dalvik/1.6.0 (Linux; U; Android 4.1.4; siwer A9 Build/IMM76D)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; HOSIN T105 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; JK890 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-I9100 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; Lenovo A388t Build/MocorDroid4.1.2)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-I9100 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; GT-I9505 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.1.1; HTC One S Build/JRO03C)
Dalvik/1.6.0 (Linux; U; Android 4.1.1; HTC One S Build/JRO03C)
Dalvik/1.6.0 (Linux; U; Android 4.1.1; HTC One S Build/JRO03C)
Dalvik/1.6.0 (Linux; U; Android 4.1.1; HTC One S Build/JRO03C)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; LG-F260S Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-N910U Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Flylife Connect 7 3G 2 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-N910U Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; MyPhone Agua Rio Fun Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; MyPhone Agua Rio Fun Build/JDQ39)
Dalvik/2.1.0 (Linux; U; Android 5.0.1; LG-D838 Build/LRX21Y)
Dalvik/2.1.0 (Linux; U; Android 5.0.1; LG-D838 Build/LRX21Y)
